Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 0
4, 20, 1
5, 25, 2
6, 30, 3
7, 35, 4
8, 40, 6
9, 45, 7
10, 50, 9
11, 55, 11
12, 60, 13
13, 65, 14
14, 70, 17
15, 75, 19
16, 80, 21
17, 85, 24
18, 90, 26
19, 95, 28
20, 100, 31
21, 105, 34
22, 110, 36
23, 115, 39
24, 120, 42
25, 125, 45
26, 130, 48
27, 135, 50
28, 140, 53
29, 145, 56
30, 150, 59
31, 155, 62
32, 160, 65
33, 165, 68
34, 170, 71
35, 175, 74
36, 180, 77
37, 185, 80
38, 190, 83
39, 195, 86
40, 200, 90
41, 205, 92
42, 210, 96
43, 215, 99
44, 220, 102
45, 225, 105
46, 230, 108
47, 235, 112
48, 240, 115
49, 245, 118
50, 250, 121
51, 255, 124
52, 260, 128
53, 265, 130
54, 270, 134
55, 275, 137
56, 280, 140
57, 285, 143
58, 290, 147
59, 295, 150
60, 300, 153
61, 305, 156
62, 310, 160
63, 315, 163
64, 320, 166
65, 325, 169
66, 330, 172
67, 335, 176
68, 340, 179
69, 345, 182
70, 350, 186
71, 355, 188
72, 360, 192
73, 365, 195
74, 370, 198
75, 375, 202
76, 380, 205
77, 385, 208
78, 390, 211
79, 395, 215
80, 400, 218
81, 405, 221
82, 410, 224
83, 415, 228
84, 420, 231
85, 425, 234
86, 430, 237
87, 435, 240
88, 440, 244
89, 445, 247
90, 450, 250
91, 455, 254
92, 460, 257
93, 465, 260
94, 470, 263
95, 475, 266
96, 480, 270
97, 485, 273
98, 490, 276
99, 495, 280
100, 500, 283
101, 505, 286
102, 510, 290
103, 515, 293
104, 520, 296
105, 525, 299
106, 530, 302
107, 535, 306
108, 540, 309
109, 545, 312
110, 550, 316
111, 555, 319
112, 560, 322
113, 565, 325
114, 570, 329
115, 575, 332
116, 580, 335
117, 585, 338
118, 590, 342
119, 595, 345
120, 600, 348
121, 605, 352
122, 610, 355
123, 615, 358
124, 620, 361
125, 625, 364
126, 630, 368
127, 635, 371
128, 640, 374
129, 645, 378
130, 650, 381
131, 655, 384
132, 660, 388
133, 665, 390
134, 670, 394
135, 675, 397
136, 680, 400
137, 685, 404
138, 690, 407
139, 695, 410
140, 700, 414
141, 705, 417
142, 710, 420
143, 715, 423
144, 720, 426
145, 725, 430
146, 730, 433
147, 735, 436
148, 740, 440
149, 745, 443
150, 750, 446
151, 755, 449
152, 760, 452
153, 765, 456
154, 770, 459
155, 775, 462
156, 780, 466
157, 785, 469
158, 790, 472
159, 795, 475
160, 800, 479
161, 805, 482
162, 810, 485
163, 815, 488
164, 820, 492
165, 825, 495
166, 830, 498
167, 835, 501
168, 840, 505
169, 845, 508
170, 850, 511
171, 855, 514
172, 860, 518
173, 865, 521
