Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 1
4, 20, 2
5, 25, 3
6, 30, 4
7, 35, 6
8, 40, 8
9, 45, 10
10, 50, 12
11, 55, 15
12, 60, 17
13, 65, 20
14, 70, 23
15, 75, 25
16, 80, 29
17, 85, 32
18, 90, 35
19, 95, 38
20, 100, 41
21, 105, 44
22, 110, 48
23, 115, 51
24, 120, 55
25, 125, 58
26, 130, 61
27, 135, 65
28, 140, 69
29, 145, 72
30, 150, 75
31, 155, 79
32, 160, 83
33, 165, 86
34, 170, 90
35, 175, 93
36, 180, 97
37, 185, 101
38, 190, 104
39, 195, 108
40, 200, 112
41, 205, 115
42, 210, 119
43, 215, 123
44, 220, 127
45, 225, 131
46, 230, 135
47, 235, 138
48, 240, 142
49, 245, 146
50, 250, 150
51, 255, 154
52, 260, 158
53, 265, 162
54, 270, 166
55, 275, 170
56, 280, 174
57, 285, 178
58, 290, 182
59, 295, 186
60, 300, 190
61, 305, 194
62, 310, 199
63, 315, 203
64, 320, 207
65, 325, 211
66, 330, 215
67, 335, 219
68, 340, 223
69, 345, 227
70, 350, 232
71, 355, 236
72, 360, 240
73, 365, 244
74, 370, 248
75, 375, 252
76, 380, 257
77, 385, 261
78, 390, 265
79, 395, 269
80, 400, 273
81, 405, 277
82, 410, 281
83, 415, 285
84, 420, 290
85, 425, 294
86, 430, 298
87, 435, 303
88, 440, 307
89, 445, 311
90, 450, 315
91, 455, 319
92, 460, 323
93, 465, 327
94, 470, 332
95, 475, 336
96, 480, 340
97, 485, 344
98, 490, 348
99, 495, 352
100, 500, 357
101, 505, 361
102, 510, 365
103, 515, 369
104, 520, 373
105, 525, 377
106, 530, 381
107, 535, 385
108, 540, 389
109, 545, 393
110, 550, 397
111, 555, 401
112, 560, 406
113, 565, 410
114, 570, 414
115, 575, 418
116, 580, 422
117, 585, 426
118, 590, 431
119, 595, 435
120, 600, 439
121, 605, 443
122, 610, 447
123, 615, 451
124, 620, 455
125, 625, 459
126, 630, 463
127, 635, 467
128, 640, 471
129, 645, 475
130, 650, 479
131, 655, 483
132, 660, 487
133, 665, 491
134, 670, 496
135, 675, 500
136, 680, 504
137, 685, 508
138, 690, 512
139, 695, 516
140, 700, 520
141, 705, 524
142, 710, 528
143, 715, 532
144, 720, 536
145, 725, 540
146, 730, 544
147, 735, 548
148, 740, 552
149, 745, 556
150, 750, 561
151, 755, 565
152, 760, 569
153, 765, 573
154, 770, 577
155, 775, 580
156, 780, 584
157, 785, 588
158, 790, 592
159, 795, 596
160, 800, 600
161, 805, 604
162, 810, 608
163, 815, 612
164, 820, 616
165, 825, 620
166, 830, 624
167, 835, 628
168, 840, 632
169, 845, 636
170, 850, 640
171, 855, 644
172, 860, 648
173, 865, 652
